First Name,Last Name,Bio,MIT Affil,WebName,Title,Job Title,Role ,Keynote,Mentor,headshot,Interview,Email,Wait,LinkedIn
Carolina,Medina Gutiérrez,"Carolina is a social and tech entrepreneur and innovator. She is currently COO and founder of Vincu, a company that uses data and artificial intelligence to transform the labor market through sales people recruitment. Before Vincu, Carolina co-founded and led as CEO a startup in Bogotá called Agruppa, which used mobile technology and economies of scale to optimize fruit and vegetable supply chains between farmers and mom-and-pop shops. Carolina was selected as an MIT Innovator Under 35 Latam (2017) and a UN Young Leader for the SDGs (2017), among others. She holds a Masters’ degree in International Development from London School of Economics, where she studied international development and humanitarian emergencies. Carolina is passionate about developing technological solutions for social innovation, and her career goal is to create various not-for-profit companies that contribute to the development of Colombia and Latin America. ",N,Carolina Medina Gutiérrez,Ms.,"Entrepreneur, Consultant",Panelist,N,U,carolina.png,,,,https://www.linkedin.com/in/caromedina/
Paula,Mendoza,"Paula is a Colombian designer who founded the New York-based brand Paula Mendoza Jewelry. She is also a creative director of Cano Jewelry and co-founder and creative director of Humanity of Looking for the Masters, a project that looks to work with artisans and indigenous communities in order to preserve Colombian history. From the beginning, Paula has worked with Colombian artisans to bring her designs to life. Although Paula initially studied social communications, she realized that this was not the platform she wanted to utilize to express herself and opened her first Atelier in Bogota, Colombia in 2003. A year later she moved to Washington, DC where her designs quickly gained popularity. With a desire to take her designs to new heights, she studies Jewelry as Sculpture at the Corcoran Art Institute. Upon establishing New York as her headquarters eight years ago, her brand has made it to the most reputable retailers worldwide, including Net-A-Porter, Saks, Moda Operandi, Harvey Nichols, and Bergdorf Goodman, among others. From the beginning, Paula consciously decided to have her country not only as her source of inspiration but also as her source of production. Every material found in her pieces is locally sourced as well as conflict-free. Paula’s jewelry is recognized as not only physically sustainable but economically sustainable since the brand provides jobs to over 40 artisan families. She has been recognized by her country’s former president Juan Manuel Santos as one of the 100 Top Colombians changing the face of the country.        ",N,Paula Mendoza,Ms.,"Designer & Founder, Paula Mendoza Jewelry",Panelist,N,U,paula.jpg,,,,Couldn't find one
Nicholas,Meyer,"Nick is a senior lecturer at the MIT Sloan School of Business, where he focuses on entrepreneurship, making, and storytelling. He is also co-founder of Relativity6, an AI company that optimizes customer retention for insurance and financial services companies. A serial co-founder, Nick has been product or engineering lead for software companies in industries as diverse as gaming, video, travel, music, social, and consumer products. While still in high school, he co-founded the MMOG (multi-player massive online game) Kings of Chaos, one of the first browser-based viral casual games. While an undergraduate student at MIT, Nick founded Reble.FM, a peer-to-peer streaming music service that was acquired by Playlist.com. Nick left MIT in 2006 to participate in Y Combinator, and then moved to San Francisco after raising seed capital from Tandem Entrepreneurs. After running Product at Playlist.com, he co-founded SocialShield, a subscription service for parents to protect their children from online bullying and cyber-stalking. SocialShield was later acquired by Avira. In 2009, Nick moved to New York and joined Vinay Pulim in founding MileWise, which optimizes reward travel spending. As an engineer and designer, Nick wore every hat you could wear, until the company’s acquisition by Yahoo! in 2013. His most recent company was Sup, a mobile video app funded by Khosla Ventures. As a lecturer, Nick teaches classes and workshops across the engineering and business schools. He has taught “Building an Entrepreneurial Venture,” “Intro to Making,” “Digital Product Management,” and “Open Source Entrepreneurship”.
",Y,Nicholas Meyer,Mr.,"Co-Founder at Relativity6, Senior Lecturer at MIT Sloan",Panelist & Workshop Leader,N,U,nick.jpg,,,,https://www.linkedin.com/in/nicholasmeyer/
Lesley,Millar-Nicholson,"Lesley is the director of MIT Technology Licensing Office (TLO). She leads a team that manages the intellectual assets and technology transfer process for MIT’s inventions. Located in Kendall Square, the TLO is responsible for engagement with faculty, staff, and students and for the efficient and effective transfer of IP into the market place to ensure societal impact. Working with MIT startup companies, VCs, and corporate partners, the team manages over 800 new inventions a year from the MIT and Lincoln Lab campuses.  The MIT portfolio includes over 10,000 issued and pending US and foreign patents and over 1,000 active licenses. The TLO is an integral part of the MIT innovation ecosystem working closely with its many programs and centers established to harness the amazing innovations from MIT faculty, students, and staff.  Prior to arriving in Cambridge, Lesley served for ten years as director of the Office of Technology Management (OTM) at the University of Illinois, Urbana-Champaign.  Lesley is a past president of the Board of Governors of Certified Licensing Professionals, Inc. She is also on the Board of Directors of the Licensing Executive Society as well as a board member of Cambridge Enterprise (University of Cambridge, England).  A native of Scotland, Lesley has a B.Ed., M.Ed, MBA, and she is a Certified Licensing Professional. 
",Y,Lesley Millar-Nicholson,Ms.,"Director, MIT Technology Licensing Office",Fireside Chat,U,U,lesley.jpg,,,,https://www.linkedin.com/in/lesley-millar-nicholson-clp-86a1b1/
Megan,Mitchell,"Megan is the director of fellowship and student programs for the MIT Legatum Center for Development and Entrepreneurship. Prior to joining MIT in January of 2017, Megan managed UBS Americas’ Elevating Entrepreneurs initiative, a portfolio of philanthropic partnerships and programs focused on driving toward a more inclusive entrepreneurial landscape. This included Project Entrepreneur, a collaboration with Rent the Runway Foundation to increase the pipeline of women building economically impactful companies. Prior to UBS, Megan oversaw co-curricular and experiential learning activities for Wharton Entrepreneurship, including the annual business plan competition and global internship program. She also served as a member of the Venture Initiation Program management team, and led development of the department’s venture development programs at the school’s San Francisco campus. Megan holds a BA in Economics and Public Policy Studies from Duke University and a MSEd from University of Pennsylvania’s Graduate School of Education.",Y,Megan Mitchell,Ms.,"Acting Director, MIT Legatum Center for Development & Entrepreneurship ",Fireside Chat Moderator and Panel Moderator,N,U,megahn.jpg,,,,https://www.linkedin.com/in/megan-mitchell-199573/
Lee,Moreau,"Lee is VP, Design at EPAM Continuum, a design and innovation consultancy based in Boston, MA. As an architect turned strategist, he combines a unique capacity for complex systems thinking with a deeply empathic perspective, which he uses to critically engage and re-imagine the contemporary world. Through creative consulting engagements, Lee helps his clients lead efforts to understand their customers’ needs and values, implement new ideas and offerings, transform customer experiences, and foster cultural change within their organizations. Lee has led service and experience design projects for a diverse group of clients—such as Southwest Airlines, BBVA, Staples, P&G, Chili’s, and Kaiser Permanente—that blur the boundaries between content and experience. Prior to joining Continuum, Lee was the Director of Environments at 2x4, an internationally recognized design firm, where he led projects for clients such as Novartis, Nike, Lincoln Center, and the MoMA Design Store. Previously, he worked as a designer at IDEO and at the Rockwell Group.",Y,Lee Moreau,Mr.,"VP, Design at EPAM Continuum",Workshop Leader,N,U,lee_m.jpg,,,,https://www.linkedin.com/in/leemoreau/
Adriana,Noreña,"Adriana is vice president (VP) of Google Spanish-Speaking Latin America. She has been leading the region since June 2011, and is based in Sao Paulo. Prior to that, she was country director for Google Argentina from 2009 to 2012, and sales and online operations director, first for Brazil and then for Latin America. Before joining Google, Adriana was the marketing and business development director at Avaya and strategic and finance planning manager at Elma Chips (PepsiCo). She is also the founder of a cosmetic products company. Adriana holds a degree in Business Administration from Universidad Icesi (Colombia); as well as an MBA from Babson College (USA) and a Master’s Degree in Management of Technology from the Massachusetts Institute of Technology (USA). Adriana currently serves as a member of MIT Sloan's Latin America Office’s Advisory Council, is a board member of ALSEA, and has recently joined the Board of Laboratoria. She is married and has a daughter. Her hobbies include listening to music, reading, cycling, and running marathons.",Y,Adriana Noreña,Ms.,"VP, Google Spanish Speaking Latin America",Keynote,Y,U,adriana.png,,,,https://www.linkedin.com/in/adriana-noreña-7900015/
Camila,Petignat,"Camila currently serves as principal and accelerator program manager for The Yield Lab LatAm, a VC firm HQ in Buenos Aires, Argentina. The Yield Lab invests in and accelerates high-impact early-stage agrotech companies from Latin American to enable entrepreneurs to sustainably revolutionize agrifood systems globally. Camila has always been driven by curiosity and drawn to science and biology. By the time she got to university, she already knew that she wanted to solve problems with biotechnology. NEOGRAM, the agribiotech startup that Camila co-founded in 2011, made her a bio-entrepreneur in the agrotech industry. She has gathered significant experience in business management and administration and business development, taking on responsibilities ranging from running operations and leading high-performance teams to pitching to investors and fundraising from a variety of sources.  Camila is always looking to give back to her local entrepreneurial community by mentoring, giving lectures, and collaborating with EmprendING and EmprendEX. She is also a Sandbox community member of the BA Hub and co-founded BiohackingBA Meetup.
",N,Camila Petignat,none,"Principal & Accelerator Program Manager, The Yield Lab LatAm",Panelist,N,U,camila.jpg,,,,https://www.linkedin.com/in/camilapetignat/
Maria Lorena,Roa Rojas,"Maria Lorena Roa is a social-tech entrepreneur. Recognized as one of the leading Latinx women in tech start-
ups by different media outlets such as: CNN, Huffington Post, Univision, Vogue and Marie Claire, Maria Lorena is the CEO and founder of PANAL. PANAL is a software house specialized in didactic solutions to
empower entrepreneurs and decrease Latam´s failure entrepreneurial rates. Maria Lorena holds an Ed.M in technology, innovation and education from Harvard Graduate School of Education, and is a 
resident at the Harvard Innovation Lab. She is also the co-founder of QVIT corp, a virtual fitting room nominated as one of the most revolutionary tech startups at Ireland´s 2014 Web Summit. She is also a board member of Molinos Florhuila and Molinos Roa. Maria Lorena graduated with a degree in Business Administrator from Purdue University, with minors in entrepreneurship and international business. She is a recipient of the Peterson Entrepreneurship Scholarship and is an active member of the Aspen Institute.
",Harvard,Maria Lorena Roa,Mrs.,"VP of Product Development & Co-Founder, PANAL Centro de Emprendimiento",Workshop leader,N,U,mariaroa.jpg,,,Y,https://www.linkedin.com/in/lorenaroa/
Susana,Robledo,"Susana Robledo is the founder and CEO of Cube Care Company (www.cubecare.com), a full-service manufacturer and supplier of decorative products for healthcare and commercial interiors, such as cubicle curtains and window treatments. Headquartered in Miami Lakes, Cube Care serves nearly 90 percent of South Florida hospitals, as well as several Veterans Affairs (VA) medical centers and general contractors across the U.S. When Susana was nine years old, she and her mother fled to South Florida from Colombia after her father, a prominent business owner, was murdered. Despite this tragedy and the many hardships she encountered since arriving in the U.S., Susana has persevered through adversity to start Cube Care in 1999 and build it into a thriving multimillion-dollar enterprise. Today, under Susana’s leadership, Cube Care has received the “KEYS TO THE COUNTY” for  Miami-Dade County, joined the ranks of the “Inc. 5000 Fastest Growing Companies,” “Top 50 Women-Led Businesses in Florida,” and “Top 500 Hispanic-American Owned Businesses in America.” Selected by Grow Florida as an emerging “Florida Company to Watch” in 2014, Cube Care has won numerous awards, including the prestigious “Good to Great” small business award (from the Greater Miami Chamber of Commerce), “Supplier of the Year” (nominated by Cube Care clients University of Miami, Jackson Health, Baptist Health, and Broward Health), and “Statewide Minority Manufacturer of the Year” (from the U.S. Department of Commerce).
",N,Susana Robledo,Ms.,"CEO & Founder, Cube Care Company",Panelist,N,U,susana.jpg,,,Y,https://www.linkedin.com/in/susana-robledo-b72ba216/
Steph,Speirs,"Steph Speirs is a social entrepreneur and community builder with management experience in the Middle East, South Asia, and the U.S. She co-founded and runs Solstice, an enterprise dedicated to radically expanding the number of American households that can take advantage of clean energy using community-shared solar farms. She is a Techstars alum and was selected as an Echoing Green Climate Fellow, Global Good Fund Fellow, Kia Revisionary, Renewable Energy World 40 Under 40 in Solar, Grist 50 Fixer, GLG Social Impact Fellow, Cordes Fellow, and Acumen Global Fellow. Steph previously led sales and marketing innovation initiatives in India at d.light, a solar products company powering areas without reliable electricity; spearheaded Acumen's renewable energy impact investment strategy in Pakistan; developed Middle East policy as the youngest policy director at the White House National Security Council; and managed field operations in seven states for the first Obama presidential campaign. She holds a B.A. from Yale, a Master's in Public Affairs (MPA) with distinction from Princeton, and an MBA from MIT with a Certificate in Entrepreneurship and Innovation. She originally hails from Hawaii.",Y,Steph Speirs,Ms.,"CEO & Co-Founder, Soltice",Panelist,N,U,steph.jpg,,,Y,https://www.linkedin.com/in/skyspeirs/
Alexander,Torrenegra,"Alexander is the CEO of http://torre.co. Torre is building a new platform that will enable everyone to find fulfilling professional opportunities easily. Previously, he co-founded and bootstrapped http://voice123.com in 2002 (the first and largest global marketplace for voice-overs with over 200,000 voice actors and 100,000 buyers), as well as http://bunnyinc.com in 2011 (a mission-critical outsourcing solution for writing, voice recordings, and translations), with his wife Tania Zapata. With hundreds of thousands of users, availability in five languages, and team members in 10+ countries, both companies are growing steadily. Together, Tania and Alexander have angel invested in 20+ tech companies and have been based in the USA since 1998. He joined Sony's Shark Tank Colombia as an investor in 2017. With the goal of giving back to society, he also co-founded the BogoDev and BogoTech communities in Colombia (for software developers and technologists respectively). Then, in 2016, he founded http://neocratia.org with the goal of upgrading the way the laws governing our societies are created. He was honored by MIT’s Technology Review with the TR35 Top Colombian Innovator of the Year award in 2012, with the High-Impact Entrepreneur title by Endeavor in 2013, and named Young Global Leader by the World Economic Forum in 2015.",N,Alexander Torrenegra,Mr.,"CEO at Torre, Investor at Shark Tank Columbia",Fireside Chat Speaker,N,U,alexander.jpg,,,,https://www.linkedin.com/in/alextorrenegra/
Julián,Torres Gomez,"Julian is the CEO and founder at Fitpal (www.fitpal.co), a monthly membership that gives its members unlimited access to over 500 gyms in Colombia. His prior experiences include being entrepreneur in residence at InQlab (www.inqlab.co), one of Colombia's most active venture builders and startup incubators and working in top executive search at Boyden (www.boyden.com). He lived in China for one year working in strategic sourcing, procurement, and trading solutions in Beijing, and also working part-time as a singer and guitar player. He has founded six companies: a tourism company titled Visit Colombia Tours, a restaurant called Underground, a retailer of intelligent Korean toilet sets named DADA, a platform for online therapy on enterapia.co, a software-as-a-service company for gyms known as Checklemon, and most recently Fitpal. He holds a Bachelor’s degree in business from Universidad de los Andes.",N,Julián Torres Gomez,Mr.,"CEO & Founder, Fitpal",Panelist,N,U,julian.jpg,,,,https://www.linkedin.com/in/juliantorresgomez/
Freddy,Vega,"Freddy is the CEO and founder of Platzi, the largest programming school in Latin America with one million of students around the world. At the age of 16, he created a community called Cristalab, which, six years later, became the largest community of developers in Latin America. At this point, he merged his community with that of his co-founder, Christian Van Der Henst, and created Mejorando.la, a community with an educational offering.  With this growing community a new technology platform for streaming live classes with tools for engaging the audience, Freddy co-founded Platzi in 2013. Platzi was the first company of Latin origin accepted into Y Combinator, and the company now operates out of San Francisco. Freddy believes much of Platzi's success relies on its ability to offer online courses that stay up-to-date with rapid advances in many popular areas, like programming and digital marketing. ",N,Freddy Vega,Mr.,"CEO, Platzi",Panelist,N,U,freddy.jpg,,,,https://www.linkedin.com/in/johnfreddyvega/
Ignacio ,Vidal ,"Ignacio is the founder and executive director of Socialab, a network of problem solvers that works on social issues in Latin America. Although he began his career in publicity, his passion for social issues led him to found Socialab and work on problems ranging from extreme poverty to education to gender issues. Ignacio is a specialist in creativity, administration, and company management. He has experience in research and consulting as well as projects of social innovation, CSR, and sustainability. Ignacio has worked with recognized companies in Colombia and international organizations, and he is also a mentor and business consultant. He has spoken at various inspirational and entrepreneurial events, such as TEDx and Campus Party.",N,Ignacio Vidal,Mr.,"Founder & Executive Director, Socialab Colombia",Panelist,N,U,ignacio.jpg,,,,https://www.linkedin.com/in/vidalignacio/
Luis Fernando,Sanabria,"Luis Fernando is the chief operating officer (COO) of Fundación Paraguaya, a non-profit social enterprise based in Asunción/Paraguay. Luis has over 30 years of experience working with Fundación Paraguaya in social development, microfinance, and institutional building. He oversees the operations of all Fundación Paraguaya programs in Latin America, Africa, and Asia. Under his leadership, Fundación Paraguaya has received numerous awards for innovation in social development, education, and youth employment, among others: most recently, the Juscelino Kubitschek prize from the IDB in 2018 and the ILO Good Practice in Youth Employment prize in 2014. In the public sector, he led the Municipality of Asuncion’s Tax Reorganization Program from 1997 and 2001, which enabled doubling the annual income of the city. He also represented the city at numerous local and international entities. During 2012-2013, he served as advisor to the Social Cabinet of the President of Paraguay for the development of the Public-Private Partnership for the Eradication of Extreme Poverty (APEX). Luis Fernando received a law degree from the Catholic University of Asuncion and has an MBA from the Austral University in Argentina.",N,Luis Fernando Sanabria,Mr.,"COO, Fundación
Paraguaya",Fireside chat speaker,N,U,luisfern.jpg,,,,https://www.linkedin.com/in/luisfernandosanabria/
